id,language,platform,gender,country,success,ui,timestamp
422,English,Android,Male,UK,TRUE,B,10/28/2023 1:52
423,Hindi,iOS,Female,USA,TRUE,A,5/23/2023 6:48
424,French,Android,Male,Australia,FALSE,B,11/18/2023 7:45
425,Hindi,Android,Female,UK,TRUE,B,9/15/2023 20:04
426,German,Android,Male,UK,FALSE,B,1/17/2023 11:51
427,Spanish,Android,Male,USA,FALSE,B,3/19/2023 18:25
428,German,Android,Male,UK,TRUE,A,4/29/2023 14:31
429,Hindi,iOS,Male,Australia,FALSE,A,8/30/2023 1:42
430,Spanish,Android,Female,Canada,TRUE,B,5/4/2023 10:41
431,Hindi,iOS,Male,Australia,TRUE,B,5/29/2023 12:13
432,French,iOS,Male,Australia,FALSE,A,5/30/2023 0:10
433,French,iOS,Female,USA,FALSE,A,2/15/2023 0:26
434,Spanish,iOS,Male,UK,FALSE,B,3/11/2023 13:59
435,Hindi,Android,Male,UK,FALSE,B,12/17/2023 14:40
436,French,Android,Male,Australia,FALSE,B,6/1/2023 17:39
437,Chinese,iOS,Male,USA,FALSE,A,3/27/2023 5:52
438,Chinese,Android,Female,USA,FALSE,B,8/17/2023 18:05
439,Spanish,Android,Male,India,TRUE,A,9/28/2023 17:24
440,Chinese,iOS,Male,UK,TRUE,B,8/6/2023 12:01
441,Chinese,Android,Female,UK,TRUE,B,6/18/2023 9:36
442,Chinese,iOS,Male,Canada,TRUE,A,12/17/2023 14:54
443,Spanish,Android,Male,UK,FALSE,A,6/30/2023 8:29
444,French,iOS,Male,UK,FALSE,A,1/3/2023 22:35
445,German,iOS,Female,USA,FALSE,A,8/10/2023 21:35
446,Chinese,Android,Female,USA,FALSE,A,7/8/2023 12:48
447,French,Android,Female,Australia,FALSE,B,4/6/2023 0:26
448,Chinese,iOS,Female,UK,TRUE,B,5/25/2023 5:22
449,Chinese,Android,Male,USA,FALSE,B,6/4/2023 17:33
450,German,iOS,Male,Canada,FALSE,B,5/30/2023 3:03
451,Chinese,iOS,Female,USA,TRUE,A,2/3/2023 7:42
452,French,Android,Female,India,FALSE,B,1/26/2023 15:25
453,English,iOS,Female,Australia,TRUE,B,12/10/2023 17:40
454,Spanish,Android,Female,Canada,TRUE,A,2/12/2023 19:01
455,English,iOS,Male,Australia,TRUE,A,5/28/2023 11:25
456,Spanish,Android,Male,India,FALSE,A,7/18/2023 8:58
457,Chinese,iOS,Male,UK,TRUE,A,4/19/2023 19:17
458,German,iOS,Female,India,TRUE,A,9/17/2023 0:58
459,German,Android,Female,Canada,TRUE,A,10/5/2023 23:57
460,German,Android,Male,India,TRUE,B,5/22/2023 19:09
461,Chinese,iOS,Female,India,FALSE,B,5/17/2023 12:50
462,German,Android,Female,Australia,TRUE,B,8/25/2023 11:48
463,German,Android,Female,UK,FALSE,A,7/25/2023 8:31
464,German,Android,Male,USA,FALSE,A,3/9/2023 16:06
465,Hindi,iOS,Male,India,FALSE,B,3/16/2023 5:32
466,Hindi,Android,Female,Canada,FALSE,B,3/29/2023 5:21
467,Hindi,iOS,Female,USA,FALSE,B,1/21/2023 1:31
468,French,Android,Female,Australia,FALSE,B,9/16/2023 10:21
469,Chinese,iOS,Female,India,TRUE,A,9/26/2023 0:10
470,French,iOS,Female,Australia,FALSE,B,12/2/2023 10:15
471,English,Android,Female,Canada,TRUE,A,9/22/2023 23:22
472,French,Android,Male,USA,TRUE,B,9/10/2023 11:00
473,French,Android,Male,Canada,FALSE,B,6/16/2023 3:06
474,Chinese,iOS,Female,UK,TRUE,A,11/6/2023 0:49
475,Spanish,Android,Female,USA,TRUE,A,2/28/2023 7:37
476,German,iOS,Male,Australia,TRUE,A,2/7/2023 9:22
477,French,iOS,Female,USA,TRUE,B,3/22/2023 4:39
478,Spanish,iOS,Female,Australia,FALSE,A,3/17/2023 16:31
479,Chinese,Android,Male,Australia,FALSE,B,7/27/2023 4:41
480,French,Android,Male,UK,FALSE,B,3/18/2023 18:36
481,English,Android,Male,Canada,FALSE,B,8/19/2023 7:39
482,English,Android,Female,USA,FALSE,A,2/6/2023 3:35
483,English,iOS,Female,Canada,TRUE,A,2/25/2023 6:55
484,Hindi,iOS,Male,Australia,TRUE,A,5/6/2023 22:59
485,German,iOS,Female,UK,TRUE,B,10/25/2023 22:22
486,French,Android,Male,Canada,FALSE,B,6/12/2023 5:42
487,English,iOS,Female,Australia,FALSE,B,3/31/2023 6:16
488,Chinese,iOS,Female,Australia,FALSE,A,11/23/2023 7:24
489,Chinese,iOS,Male,India,TRUE,B,4/30/2023 21:38
490,English,iOS,Female,India,TRUE,A,5/16/2023 17:30
491,Chinese,iOS,Male,USA,FALSE,B,9/7/2023 5:09
492,English,Android,Male,USA,FALSE,A,10/31/2023 4:41
493,French,iOS,Female,USA,FALSE,B,7/14/2023 0:10
494,English,iOS,Female,USA,FALSE,B,9/9/2023 12:02
495,Chinese,iOS,Female,Australia,TRUE,B,11/26/2023 9:35
496,Hindi,iOS,Female,USA,TRUE,A,7/1/2023 11:24
497,French,iOS,Female,India,TRUE,B,1/2/2023 3:40
498,Chinese,Android,Female,India,TRUE,A,4/22/2023 4:31
499,Chinese,iOS,Male,USA,TRUE,A,5/14/2023 16:45
500,German,Android,Male,Australia,TRUE,A,1/18/2023 6:23
